Milliseconds,Timestamp,Magnitude,Angle
1000,1000,,
2000,2000,0.7041192650794983,3.478252649307251
3000,3000,0.30915316939353943,0.5766015648841858
4000,4000,2.2059824466705322,3.5297651290893555
5000,5000,0.5081915855407715,2.109743595123291
6000,6000,0.309264600276947,0.8796414136886597
7000,7000,1.116178035736084,2.241615056991577
8000,8000,-0.10149119794368744,1.1993324756622314
9000,9000,-0.32779183983802795,1.9460538625717163
10000,10000,0.3267986476421356,-0.8874340653419495
11000,11000,-0.37112271785736084,3.837071180343628
12000,12000,1.1621570587158203,-1.0785439014434814
13000,13000,-1.128204107284546,3.165750741958618
14000,14000,-0.8207351565361023,-2.581178903579712
15000,15000,-0.13272204995155334,5.651339054107666
16000,16000,0.15256577730178833,-3.232028007507324
17000,17000,-0.6424337029457092,3.259319543838501
18000,18000,0.072776198387146,0.1866074949502945
19000,19000,-0.9404680132865906,4.971164703369141
20000,20000,1.7476706504821777,-0.8499077558517456
21000,21000,-1.0968044996261597,5.8851847648620605
22000,22000,0.14661365747451782,1.086830973625183
23000,23000,-0.6706686019897461,2.4010612964630127
24000,24000,0.6920571327209473,-1.7834326028823853
25000,25000,-0.10452355444431305,7.843122482299805
26000,26000,0.17270199954509735,-2.401447296142578
